Date,Close,High,Low,Open,Volume
2021-05-25,119.89618682861328,120.38922061291132,119.04459048025397,119.70793259159583,7271400
2021-05-26,119.30453491210938,120.58642262905994,118.52465388657875,120.00374142016105,6663300
2021-05-27,119.79757690429688,120.69399696903369,118.96391280966827,118.98183136259804,7379300
2021-05-28,120.60436248779297,121.5904301365778,120.07547787539299,120.2547591720031,7042200
2021-06-01,120.06651306152344,121.97589229417795,119.6989775295343,121.10636368351368,7059600
2021-06-02,120.57108306884766,121.39097756416476,119.35473507047944,119.9944334266527,6026000
2021-06-03,118.73301696777344,120.18361820891587,118.40865849931672,119.51687753817687,6644000
2021-06-04,121.03958129882812,121.67929335561341,119.11145388209589,119.40878367625668,7416700
2021-06-07,120.12059783935547,120.5260426299283,119.5079144073973,120.46296641348437,5563300
2021-06-08,120.91343688964844,121.98562234694765,119.83224643831771,120.78729823279457,9657900
2021-06-09,119.733154296875,121.94960673720628,119.64304935084549,121.72435812021705,6717200
2021-06-10,120.93148040771484,121.72435995082812,119.45385000796678,119.87731851412184,5522300
2021-06-11,121.2918472290039,121.31887595792612,120.41788166563381,120.55303905832677,6529900
2021-06-14,123.71553802490234,123.71553802490234,121.44502830284426,121.81443930387788,7912600
2021-06-15,122.15682983398438,123.7786226022735,121.84147627556436,123.56237898380684,5723600
2021-06-16,121.58919525146484,123.48128904860334,120.42691848905159,122.95871063084049,7404700
2021-06-17,121.9495849609375,123.09383783229524,120.8143233352588,121.01254318266042,6618300
2021-06-18,119.83226013183594,121.25583299219475,119.14750930896427,121.22880425892903,12753600
2021-06-21,120.69720458984375,121.72433755989944,119.52590922972496,119.87729646295237,6371400
2021-06-22,121.70631408691406,121.91353893052583,120.09352655927549,120.93145842375459,5976400
2021-06-23,122.10275268554688,122.74245094643213,121.4630406765795,121.53512187111681,6613800
2021-06-24,124.26513671875,124.79672007551405,122.85058276538501,123.0938413365996,7941700
2021-06-25,124.02185821533203,125.66167441819267,123.40918869871275,124.74265639518197,7949200
2021-06-28,125.88690185546875,126.29234646729024,124.3191671086023,124.54441564273417,6645500
2021-06-29,128.4998321533203,128.79716199031807,125.46348506495951,125.80586737691182,6885400
2021-06-30,128.77911376953125,129.4098208028257,127.79703324340964,128.25654915327175,6449700
2021-07-01,126.8600082397461,128.86021681251947,126.45456352863427,128.761106883307,6094100
2021-07-02,128.46377563476562,128.55386682060882,127.26545150358145,127.93219226961794,5399100
2021-07-06,127.21138763427734,129.0043574955716,125.85087744017785,128.84218512037359,7095200
2021-07-07,126.1122055053711,128.265581882855,125.29229718326127,128.15746693860683,5034900
2021-07-08,124.59848022460938,125.12105850348294,122.17481740698025,124.08492068638827,7501100
2021-07-09,127.42764282226562,127.69794391612639,124.1660472011106,124.23812840934579,7356800
2021-07-12,128.36465454101562,128.8602041383377,127.22038797048673,127.40058407458162,6786500
2021-07-13,127.20235443115234,128.5358357444518,126.51760378913833,128.33761592080134,5657600
2021-07-14,129.51791381835938,131.8514854530083,128.3916710895041,129.29266527258832,11305700
2021-07-15,127.45472717285156,129.86938657554657,126.78798608872017,129.85136283054592,6667400
2021-07-16,125.87793731689453,128.40071071145346,125.71575117119639,127.82407482868514,5914300
2021-07-19,125.04903411865234,125.14814407428558,123.26506866534069,124.62557930613201,9371300
2021-07-20,125.73375701904297,126.51761765881405,123.6164149197876,125.2562311410121,6020400
2021-07-21,128.0943603515625,128.13941281701258,125.82385082408472,125.82385082408472,6161900
2021-07-22,128.337646484375,128.7070574935242,127.49070953582174,127.94120674266209,3862600
2021-07-23,130.5360565185547,130.63516643991022,127.96821730494021,129.24762754093254,6310400
2021-07-26,129.29270935058594,130.08558890139133,128.15746124218404,129.69815412158056,6253900
2021-07-27,126.97718048095703,128.84224616792486,124.52648746782255,128.38274380572875,7575800
2021-07-28,128.337646484375,128.76111495865163,126.26535658329261,127.2834846701386,9303400
2021-07-29,136.04115295410156,136.5186788987117,131.91459684468552,131.99568304326073,19446900
2021-07-30,134.96896362304688,135.51857075596615,133.67152948972375,134.4283614848011,8404800
2021-08-02,134.12200927734375,137.20340806992098,133.53636849367422,135.14914220820282,10823800
2021-08-03,133.30215454101562,134.7707802069377,132.04977253849586,134.16711544653768,6223400
2021-08-04,133.54539489746094,134.42836558531806,132.74351040838903,133.36519876191025,5556400
2021-08-05,132.29299926757812,132.8696350894821,130.25675702887278,132.66241024281976,7169200
2021-08-06,131.7974853515625,133.55442202346734,131.47312675458883,131.66234166452602,5733300
2021-08-09,132.37408447265625,133.0948826816924,131.31992276302483,132.2569508111142,4966600
2021-08-10,131.4280548095703,132.89668014890788,128.30160299706793,132.7345077484845,4197100
2021-08-11,132.1578369140625,132.25694683667766,130.10357101629543,131.59922484918536,6216000
2021-08-12,132.58132934570312,133.34718013626002,131.8965785051246,133.13093651645838,5777700
